IdSklep;Sklep;Data;WartoscsprzedazyBrutto;IloscdDkumentowSprzedazy;SredniaWartoscKoszyka;IloscIndeksow
1;001 - Sklep New York;2016-01-07;2990.34;72;41.53;179
1;001 - Sklep New York;2016-01-08;2735.97;64;42.75;149
1;001 - Sklep New York;2016-01-09;2428.07;50;48.56;123
1;001 - Sklep New York;2016-01-11;4944.74;73;67.74;260
1;001 - Sklep New York;2016-01-12;1683.66;60;28.06;118
1;001 - Sklep New York;2016-01-13;2332.89;56;41.66;201
1;001 - Sklep New York;2016-01-14;2162;61;35.44;137
1;001 - Sklep New York;2016-01-15;2205.28;45;49.01;169
1;001 - Sklep New York;2016-01-16;1426.44;39;36.58;104
1;001 - Sklep New York;2016-01-18;1982.42;63;31.47;112
1;001 - Sklep New York;2016-01-19;7903.47;57;138.66;249
1;001 - Sklep New York;2016-01-20;2393.82;55;43.52;300
1;001 - Sklep New York;2016-01-21;2544.46;56;45.44;164
1;001 - Sklep New York;2016-01-22;1972.67;58;34.01;145
1;001 - Sklep New York;2016-01-23;1565.82;37;42.32;97
1;001 - Sklep New York;2016-01-25;2189.6;55;39.81;143
1;001 - Sklep New York;2016-01-26;2740.05;55;49.82;198
1;001 - Sklep New York;2016-01-27;2470.16;60;41.17;213
1;001 - Sklep New York;2016-01-28;3487.75;70;49.83;218
1;001 - Sklep New York;2016-01-29;2428.08;59;41.15;153
1;001 - Sklep New York;2016-01-30;2418.9;46;52.58;122
1;001 - Sklep New York;2016-02-01;3655.9;63;58.03;328
1;001 - Sklep New York;2016-02-02;2551.76;55;46.4;147
1;001 - Sklep New York;2016-02-03;1767.1;41;43.1;126
1;001 - Sklep New York;2016-02-04;2483.61;43;57.76;108
1;001 - Sklep New York;2016-02-05;2391.23;67;35.69;195
1;001 - Sklep New York;2016-02-06;2117.37;46;46.03;121
1;001 - Sklep New York;2016-02-08;1507.64;52;28.99;109
1;001 - Sklep New York;2016-02-09;1432.26;48;29.84;104
1;001 - Sklep New York;2016-02-10;3318.28;60;55.3;190
1;001 - Sklep New York;2016-02-11;1738.43;53;32.8;89
1;001 - Sklep New York;2016-02-12;2600.9;55;47.29;152
1;001 - Sklep New York;2016-02-13;1720.2;52;33.08;103
1;001 - Sklep New York;2016-02-15;3090.75;59;52.39;151
1;001 - Sklep New York;2016-02-16;3147.05;54;58.28;415
1;001 - Sklep New York;2016-02-17;2999.82;46;65.21;114
1;001 - Sklep New York;2016-02-18;3268.26;53;61.67;182
1;001 - Sklep New York;2016-02-19;3374.03;66;51.12;156
1;001 - Sklep New York;2016-02-20;1862.94;44;42.34;92
1;001 - Sklep New York;2016-02-22;2413.74;53;45.54;139
1;001 - Sklep New York;2016-02-23;2527.98;45;56.18;111
1;001 - Sklep New York;2016-02-24;3696.36;61;60.6;214
1;001 - Sklep New York;2016-02-25;3306.4;68;48.62;200
1;001 - Sklep New York;2016-02-26;3722.14;65;57.26;337
1;001 - Sklep New York;2016-02-27;2389.53;40;59.74;122
1;001 - Sklep New York;2016-02-29;2269.96;54;42.04;147
1;001 - Sklep New York;2016-03-01;2652.1;44;60.28;115
1;001 - Sklep New York;2016-03-02;1912.51;46;41.58;148
1;001 - Sklep New York;2016-03-03;2175.52;56;38.85;138
1;001 - Sklep New York;2016-03-04;2487;68;36.57;145
1;001 - Sklep New York;2016-03-07;2478.31;57;43.48;139
1;001 - Sklep New York;2016-03-08;1913.24;59;32.43;110
1;001 - Sklep New York;2016-03-09;1573.18;49;32.11;174
1;001 - Sklep New York;2016-03-10;2307.26;57;40.48;145
1;001 - Sklep New York;2016-03-11;2484.07;69;36;160
1;001 - Sklep New York;2016-03-12;2030.34;44;46.14;140
1;001 - Sklep New York;2016-03-14;1859.88;58;32.07;122
1;001 - Sklep New York;2016-03-15;1367.35;42;32.56;111
1;001 - Sklep New York;2016-03-16;2241.23;50;44.82;126
1;001 - Sklep New York;2016-03-17;2362.52;56;42.19;120
1;001 - Sklep New York;2016-03-18;3913.15;74;52.88;231
1;001 - Sklep New York;2016-03-19;1705.89;39;43.74;117
1;001 - Sklep New York;2016-03-20;497.49;13;38.27;25
1;001 - Sklep New York;2016-03-21;2469.6;68;36.32;149
1;001 - Sklep New York;2016-03-22;4299.2;49;87.74;182
1;001 - Sklep New York;2016-03-23;2609.02;67;38.94;151
1;001 - Sklep New York;2016-03-24;3892.78;77;50.56;218
1;001 - Sklep New York;2016-03-25;4019.07;94;42.76;258
1;001 - Sklep New York;2016-03-26;1691.12;36;46.98;81
1;001 - Sklep New York;2016-03-29;2623.63;52;50.45;142
1;001 - Sklep New York;2016-03-30;2079.3;38;54.72;108
1;001 - Sklep New York;2016-03-31;2311.53;49;47.17;132
1;001 - Sklep New York;2016-04-01;2870.41;56;51.26;161
1;001 - Sklep New York;2016-04-02;1519.45;35;43.41;71
1;001 - Sklep New York;2016-04-04;1667.36;42;39.7;101
1;001 - Sklep New York;2016-04-05;1793.32;47;38.16;124
1;001 - Sklep New York;2016-04-06;1360.5;40;34.01;87
1;001 - Sklep New York;2016-04-07;1808.95;47;38.49;87
1;001 - Sklep New York;2016-04-08;3902.2;58;67.28;143
1;001 - Sklep New York;2016-04-09;2534.45;20;126.72;110
1;001 - Sklep New York;2016-04-11;2511.13;48;52.32;234
1;001 - Sklep New York;2016-04-12;2164.98;55;39.36;153
1;001 - Sklep New York;2016-04-13;1401.69;50;28.03;134
1;001 - Sklep New York;2016-04-14;3299.03;61;54.08;224
1;001 - Sklep New York;2016-04-15;2740.3;49;55.92;139
1;001 - Sklep New York;2016-04-16;1811.48;35;51.76;92
1;001 - Sklep New York;2016-04-18;2011.54;52;38.68;134
1;001 - Sklep New York;2016-04-19;2112.86;59;35.81;121
1;001 - Sklep New York;2016-04-20;1666.25;43;38.75;99
1;001 - Sklep New York;2016-04-21;3797.64;48;79.12;314
1;001 - Sklep New York;2016-04-22;3192.6;57;56.01;163
1;001 - Sklep New York;2016-04-23;1211.49;36;33.65;74
1;001 - Sklep New York;2016-04-25;4547.63;63;72.18;305
1;001 - Sklep New York;2016-04-26;1185.66;42;28.23;105
1;001 - Sklep New York;2016-04-27;3972.14;52;76.39;182
1;001 - Sklep New York;2016-04-28;2027.99;52;39;142
1;001 - Sklep New York;2016-04-29;3911.89;69;56.69;170
1;001 - Sklep New York;2016-04-30;4195.08;47;89.26;128
1;001 - Sklep New York;2016-05-02;2546.76;65;39.18;151
1;001 - Sklep New York;2016-05-04;2253.71;58;38.86;193
1;001 - Sklep New York;2016-05-05;2372.21;44;53.91;133
1;001 - Sklep New York;2016-05-06;3685.4;69;53.41;198
1;001 - Sklep New York;2016-05-07;2408.44;39;61.75;227
1;001 - Sklep New York;2016-05-09;3283.93;64;51.31;218
1;001 - Sklep New York;2016-05-10;1616.97;45;35.93;95
1;001 - Sklep New York;2016-05-11;2184.34;57;38.32;140
1;001 - Sklep New York;2016-05-12;2288.64;53;43.18;294
1;001 - Sklep New York;2016-05-16;2107.29;52;40.52;176
1;001 - Sklep New York;2016-05-17;1246.85;33;37.78;96
1;001 - Sklep New York;2016-05-18;1354.95;33;41.06;101
1;001 - Sklep New York;2016-05-19;1584.55;30;52.82;240
1;001 - Sklep New York;2016-05-20;3150.59;53;59.45;131
1;001 - Sklep New York;2016-05-21;1552.07;30;51.74;127
1;001 - Sklep New York;2016-05-23;2025.44;38;53.3;117
1;001 - Sklep New York;2016-05-24;5026.67;64;78.54;208
1;001 - Sklep New York;2016-05-25;3594.88;85;42.29;219
1;001 - Sklep New York;2016-05-28;1419.69;33;43.02;98
1;001 - Sklep New York;2016-05-30;941.63;34;27.7;63
1;001 - Sklep New York;2016-05-31;2084.16;50;41.68;138
1;001 - Sklep New York;2016-06-01;1417.68;48;29.54;95
1;001 - Sklep New York;2016-06-02;1012.4;40;25.31;131
1;001 - Sklep New York;2016-06-04;1861.51;36;51.71;121
1;001 - Sklep New York;2016-06-06;2488.11;47;52.94;247
1;001 - Sklep New York;2016-06-07;2833.63;56;50.6;152
1;001 - Sklep New York;2016-06-08;7923.15;50;158.46;159
1;001 - Sklep New York;2016-06-09;2962.02;61;48.56;184
1;001 - Sklep New York;2016-06-10;2944.99;75;39.27;205
1;001 - Sklep New York;2016-06-11;1399.38;36;38.87;91
1;001 - Sklep New York;2016-06-13;2930.86;63;46.52;153
1;001 - Sklep New York;2016-06-14;3641.71;59;61.72;185
1;001 - Sklep New York;2016-06-15;1960.72;55;35.65;134
1;001 - Sklep New York;2016-06-16;2670.65;62;43.08;225
1;001 - Sklep New York;2016-06-17;2312.47;56;41.29;141
1;001 - Sklep New York;2016-06-18;1818.73;54;33.68;134
1;001 - Sklep New York;2016-06-20;2503.02;62;40.37;179
1;001 - Sklep New York;2016-06-21;3575.5;74;48.32;248
1;001 - Sklep New York;2016-06-22;2856;69;41.39;167
1;001 - Sklep New York;2016-06-23;2922.13;59;49.53;202
1;001 - Sklep New York;2016-06-24;4146.26;64;64.79;251
1;001 - Sklep New York;2016-06-25;966.37;21;46.02;40
1;001 - Sklep New York;2016-06-27;2086.99;59;35.37;213
1;001 - Sklep New York;2016-06-28;3978.97;68;58.51;713
1;001 - Sklep New York;2016-06-29;2778.83;66;42.1;179
1;001 - Sklep New York;2016-06-30;3560.06;78;45.64;236
1;001 - Sklep New York;2016-07-01;2589.92;76;34.08;206
1;001 - Sklep New York;2016-07-02;2406.17;35;68.75;107
1;001 - Sklep New York;2016-07-04;3437.45;77;44.64;298
1;001 - Sklep New York;2016-07-05;3071.76;70;43.88;245
1;001 - Sklep New York;2016-07-06;2545.1;67;37.99;183
1;001 - Sklep New York;2016-07-07;3252.4;72;45.17;445
1;001 - Sklep New York;2016-07-08;4054.47;82;49.44;253
1;001 - Sklep New York;2016-07-09;1853.84;49;37.83;145
1;001 - Sklep New York;2016-07-11;2881.67;72;40.02;222
1;001 - Sklep New York;2016-07-12;2597.4;90;28.86;227
1;001 - Sklep New York;2016-07-13;2205.27;66;33.41;180
1;001 - Sklep New York;2016-07-14;4822.02;66;73.06;271
1;001 - Sklep New York;2016-07-15;5268.94;98;53.76;362
1;001 - Sklep New York;2016-07-16;2212.96;53;41.75;168
1;001 - Sklep New York;2016-07-19;2232.27;65;34.34;187
1;001 - Sklep New York;2016-07-20;3075.84;81;37.97;198
1;001 - Sklep New York;2016-07-21;4346.7;80;54.33;239
1;001 - Sklep New York;2016-07-22;5426.46;91;59.63;284
1;001 - Sklep New York;2016-07-23;2821.58;51;55.33;163
1;001 - Sklep New York;2016-07-25;2344.31;68;34.48;278
1;001 - Sklep New York;2016-07-26;2492.32;75;33.23;253
1;001 - Sklep New York;2016-07-27;2646.31;67;39.5;368
1;001 - Sklep New York;2016-07-28;3442.93;74;46.53;251
1;001 - Sklep New York;2016-07-29;3603.56;88;40.95;255
1;001 - Sklep New York;2016-07-30;1477.93;43;34.37;117
1;001 - Sklep New York;2016-08-01;2296.98;69;33.29;179
1;001 - Sklep New York;2016-08-02;3587.33;73;49.14;232
